number,item
1,I feel sad when I suffer even minor setbacks.
2,I am often preoccupied with unpleasant thoughts.
3,Sometimes even little things in life can give me great pleasure.
4,I am especially sensitive to reward.
5,I put in a big effort to accomplish important goals in my life.
6,I sometimes feel ‘blue’ for no good reason.
7,"When feeling ‘down’,
                             I tend to stay away from people."
8,I often experience a surge of pleasure running through my body.
9,I would be frozen to the spot by the sight of a snake or spider.
10,I have often spent a lot of time on my own to “get away from it all”.
11,I am a very active person.
12,I’m motivated to be successful in my personal life.
13,I am always ‘on the go’.
14,I regularly try new activities just to see if I enjoy them.
15,I get carried away by new projects.
16,Good news makes me feel over-joyed.
17,The thought of mistakes in my work worries me.
18,"When nervous, I sometimes find my thoughts are interrupted."
19,I would run quickly if fire alarms in a shopping mall started ringing.
20,I often overcome hurdles to achieve my ambitions.
21,I often feel depressed.
22,I think I should ‘stop and think’ more instead of jumping into things too quickly.
23,I often feel that I am on an emotional ‘high’.
24,I love winning competitions.
25,I get a special thrill when I am praised for something I’ve done well.
26,I take a great deal of interest in hobbies.
27,I sometimes cannot stop myself talking when I know I should keep my mouth closed.
28,I often do risky things without thinking of the consequences.
29,My mind is sometimes dominated by thoughts of the bad things I’ve done.
30,I get very excited when I get what I want.
31,I feel driven to succeed in my chosen career.
32,I’m always finding new and interesting things to do.
33,I’m always weighing-up the risk of bad things happening in my life.
34,People are often telling me not to worry.
35,I am very open to new experiences in life.
36,I always celebrate when I accomplish something important.
37,I find myself reacting strongly to pleasurable things in life.
38,I find myself doing things on the spur of the moment.
39,I would instantly freeze if I opened the door to find a stranger in the house.
40,I’m always buying things on impulse.
41,I am very persistent in achieving my goals.
42,"When trying to make a decision,I find myself constantly chewing it over."
43,I often worry about letting down other people.
44,I would go on a holiday at the last minute.
45,I would run fast if I knew someone was following me late at night.
46,I would leave the park if I saw a group of dogs running around barking at people.
47,I worry a lot.
48,I would freeze if I was on a turbulent aircraft.
49,My behavior is easily interrupted.
50,It’s difficult to get some things out of my mind.
51,I think the best nights out are unplanned.
52,There are some things that I simply cannot go near.
53,"If I see something I want,I act straight away."
54,I think it is necessary to make plans in order to get what you want in life.
55,"When nervous, I find it hard to say the right words."
56,I find myself thinking about the same thing over and over again.
57,I often wake up with many thoughts running through my mind.
58,I would not hold a snake or spider.
59,Looking down from a great height makes me freeze.
60,I often find myself ‘going into my shell’.
61,My mind is dominated by recurring thoughts.
62,I am the sort of person who easily freezes-up when scared.
63,I take a long time to make decisions.
64,I often find myself lost for words.
65,I will actively put plans in place to accomplish goals in my life.
